l,T,S,
0.4, 2.5,0.0823471, 
0.4, 2.6,0.0832922, 
0.4, 2.7,0.167879, 
0.4, 2.8,0.0869647, 
0.4, 2.9,0.0907168, 
0.4, 3,0.091029, 
0.4, 3.1,0, 
0.4, 3.2,0.0888585, 
0.4, 3.3,0, 
0.4, 3.4,0.0846502, 
0.4, 3.5,0.0971996, 
0.4, 3.6,0.105088, 
0.4, 3.7,0, 
0.4, 3.8,0, 
0.4, 3.9,0, 
0.4, 4,0, 
0.4, 4.1,0, 
0.4, 4.2,0, 
0.4, 4.3,0.0916876, 
0.4, 4.4,0.0986644, 
0.4, 4.5,0, 
0.4, 4.6,0, 
0.4, 4.7,0.207165, 
0.4, 4.8,0, 
0.4, 4.9,0, 
0.4, 5,0, 
0.5, 0.1,0.127231, 
0.5, 0.2,0.135906, 
0.5, 0.3,0.182741, 
0.5, 0.4,0.073252, 
0.5, 0.5,0.118551, 
0.5, 0.6,0.0678646, 
0.5, 0.7,0.10864, 
0.5, 0.8,0.101826, 
0.5, 0.9,0.048522, 
0.5, 1,0, 
0.5, 1.1,0.058275, 
0.5, 1.2,0.0565075, 
0.5, 1.3,0.0529027, 
0.5, 1.4,0.0552856, 
0.5, 1.5,0.080449, 
0.5, 1.6,0, 
0.5, 1.7,0.119266, 
0.5, 1.8,0.0847549, 
0.5, 1.9,0, 
0.5, 2,0.0783066, 
0.5, 2.1,0.0838486, 
0.5, 2.2,0, 
0.5, 2.3,0, 
0.5, 2.4,0.0869742, 
0.5, 2.5,0.102587, 
0.5, 2.6,0, 
0.5, 2.7,0.0799724, 
0.5, 2.8,0, 
0.5, 2.9,0.0834175, 
0.5, 3,0, 
0.5, 3.1,0, 
0.5, 3.2,0, 
0.5, 3.3,0, 
0.5, 3.4,0.115187, 
0.5, 3.5,0.0978188, 
0.5, 3.6,0, 
0.5, 3.7,0, 
0.5, 3.8,0.111738, 
0.5, 3.9,0, 
0.5, 4,0, 
0.5, 4.1,0, 
0.5, 4.2,0, 
0.5, 4.3,0, 
0.5, 4.4,0, 
0.5, 4.5,0, 
0.5, 4.6,0, 
0.5, 4.7,0, 
0.5, 4.8,0, 
0.5, 4.9,0, 
0.5, 5,0.120231, 
0.6, 0.1,0.160192, 
0.6, 0.2,0.0997752, 
0.6, 0.3,0.131135, 
0.6, 0.4,0.124199, 
0.6, 0.5,0.116506, 
0.6, 0.6,0.148898, 
0.6, 0.7,0.0994793, 
0.6, 0.8,0.045225, 
0.6, 0.9,0, 
0.6, 1,0.0953896, 
0.6, 1.1,0.118519, 
0.6, 1.2,0, 
0.6, 1.3,0.128266, 
0.6, 1.4,0.0612393, 
0.6, 1.5,0, 
0.6, 1.6,0.118039, 
0.6, 1.7,0, 
0.6, 1.8,0, 
0.6, 1.9,0.0801718, 
0.6, 2,0.0863023, 
0.6, 2.1,0.0888475, 
0.6, 2.2,0, 
0.6, 2.3,0, 
0.6, 2.4,0, 
0.6, 2.5,0, 
0.6, 2.6,0, 
0.6, 2.7,0, 
0.6, 2.8,0, 
0.6, 2.9,0.105309, 
0.6, 3,0, 
0.6, 3.1,0, 
0.6, 3.2,0, 
0.6, 3.3,0, 
0.6, 3.4,0, 
0.6, 3.5,0, 
0.6, 3.6,0, 
0.6, 3.7,0, 
0.6, 3.8,0, 
0.6, 3.9,0, 
0.6, 4,0, 
0.6, 4.1,0, 
0.6, 4.2,0, 
0.6, 4.3,0, 
0.6, 4.4,0, 
0.6, 4.5,0, 
0.6, 4.6,0, 
0.6, 4.7,0, 
0.6, 4.8,0, 
0.6, 4.9,0, 
0.6, 5,0, 
0.7, 0.1,0.155529, 
0.7, 0.2,0.114419, 
0.7, 0.3,0.0695018, 
0.7, 0.4,0.135349, 
0.7, 0.5,0.103584, 
0.7, 0.6,0.144552, 
0.7, 0.7,0.150109, 
0.7, 0.8,0.0467531, 
0.7, 0.9,0.170203, 
0.7, 1,0.0507338, 
0.7, 1.1,0.0649407, 
0.7, 1.2,0.15121, 
0.7, 1.3,0.0749281, 
0.7, 1.4,0.0691198, 
0.7, 1.5,0, 
0.7, 1.6,0.0815206, 
0.7, 1.7,0.187817, 
0.7, 1.8,0.191053, 
0.7, 1.9,0, 
0.7, 2,0.0988565, 
0.7, 2.1,0.0795347, 
0.7, 2.2,0, 
0.7, 2.3,0, 
0.7, 2.4,0, 
0.7, 2.5,0.114553, 
0.7, 2.6,0, 
0.7, 2.7,0, 
0.7, 2.8,0, 
0.7, 2.9,0.119604, 
0.7, 3,0, 
0.7, 3.1,0.116187, 
0.7, 3.2,0.108584, 
0.7, 3.3,0, 
0.7, 3.4,0, 
0.7, 3.5,0, 
0.7, 3.6,0, 
0.7, 3.7,0, 
0.7, 3.8,0, 
0.7, 3.9,0, 
0.7, 4,0, 
0.7, 4.1,0.153047, 
0.7, 4.2,0, 
0.7, 4.3,0, 
0.7, 4.4,0, 
0.7, 4.5,0, 
0.7, 4.6,0, 
0.7, 4.7,0, 
0.7, 4.8,0, 
0.7, 4.9,0, 
0.7, 5,0, 
0.8, 0.1,0.109737, 
0.8, 0.2,0.127444, 
0.8, 0.3,0.123057, 
0.8, 0.4,0.0571606, 
0.8, 0.5,0.072116, 
0.8, 0.6,0.104571, 
0.8, 0.7,0.0598621, 
0.8, 0.8,0.122007, 
0.8, 0.9,0.119059, 
0.8, 1,0.0710392, 
0.8, 1.1,0.0784008, 
0.8, 1.2,0.0779245, 
0.8, 1.3,0, 
0.8, 1.4,0.0907031, 
0.8, 1.5,0.0785303, 
0.8, 1.6,0.0984077, 
0.8, 1.7,0.0821751, 
0.8, 1.8,0, 
0.8, 1.9,0, 
0.8, 2,0.0981757, 
0.8, 2.1,0, 
0.8, 2.2,0.108611, 
0.8, 2.3,0, 
0.8, 2.4,0, 
0.8, 2.5,0.103805, 
0.8, 2.6,0, 
0.8, 2.7,0, 
0.8, 2.8,0, 
0.8, 2.9,0, 
0.8, 3,0.134162, 
0.8, 3.1,0, 
0.8, 3.2,0, 
0.8, 3.3,0, 
0.8, 3.4,0.139673, 
0.8, 3.5,0, 
0.8, 3.6,0, 
0.8, 3.7,0, 
0.8, 3.8,0, 
0.8, 3.9,0, 
0.8, 4,0, 
0.8, 4.1,0, 
0.8, 4.2,0, 
0.8, 4.3,0, 
0.8, 4.4,0, 
0.8, 4.5,0, 
0.8, 4.6,0, 
0.8, 4.7,0, 
0.8, 4.8,0, 
0.8, 4.9,0, 
0.8, 5,0, 
0.9, 0.1,0.127173, 
0.9, 0.2,0.120601, 
0.9, 0.3,0.0584751, 
0.9, 0.4,0.156919, 
0.9, 0.5,0, 
0.9, 0.6,0.14237, 
0.9, 0.7,0.0702235, 
0.9, 0.8,0.0741681, 
0.9, 0.9,0.124654, 
0.9, 1,0, 
0.9, 1.1,0, 
0.9, 1.2,0.0724967, 
0.9, 1.3,0.0900531, 
0.9, 1.4,0, 
0.9, 1.5,0.087156, 
